x,result
-5.0,0.9589246596582796
-4.9,0.9824534900653512
-4.800000000000001,0.9961645821227828
-4.700000000000001,0.9999231952673089
-4.600000000000001,0.993690865723011
-4.500000000000002,0.9775298261070864
-4.400000000000002,0.9516014822885498
-4.3000000000000025,0.9161659585113572
-4.200000000000003,0.8715758178623968
-4.100000000000003,0.8182772027473323
-4.0000000000000036,0.756802674509335
-3.9000000000000035,0.6877664994784387
-3.8000000000000034,0.6118585202424947
-3.7000000000000033,0.5298361129087465
-3.600000000000003,0.4425203899723377
-3.500000000000003,0.35078312851953347
-3.400000000000003,0.2555409216050185
-3.300000000000003,0.15774537256530155
-3.200000000000003,0.058373581139906774
-3.1000000000000028,-0.04158004586105761
-3.0000000000000027,-0.14111965434119167
-2.9000000000000026,-0.23924913010082346
-2.8000000000000025,-0.3349880403227052
-2.7000000000000024,-0.4273798209522336
-2.6000000000000023,-0.5155013405644695
-2.500000000000002,-0.5984728402314101
-2.400000000000002,-0.6754635585839522
-2.300000000000002,-0.7457054121720614
-2.200000000000002,-0.8084965066574877
-2.100000000000002,-0.8632094179092866
-2.0000000000000018,-0.9092974515196731
-1.9000000000000017,-0.9462994238134993
-1.8000000000000016,-0.9738473015796776
-1.7000000000000015,-0.991664653560295
-1.6000000000000014,-0.9995735315914229
-1.5000000000000013,-0.9974949556821354
-1.4000000000000012,-0.9854497173602732
-1.3000000000000012,-0.9635586295661737
-1.200000000000001,-0.9320392704000005
-1.100000000000001,-0.8912074309868032
-1.0000000000000009,-0.841471009700177
-0.9000000000000009,-0.7833269174484381
-0.8000000000000009,-0.7173557231746038
-0.700000000000001,-0.6442175765277786
-0.600000000000001,-0.5646424457142866
-0.500000000000001,-0.47942553323412784
-0.400000000000001,-0.3894186666666676
-0.30000000000000104,-0.295520250000001
-0.20000000000000104,-0.19866933333333436
-0.10000000000000103,-0.09983333333333436
-1.0269562977782698E-15,0.0
